RAT,BL1,BL2,1,2,3,4,5,6,7,8
1,1,0,2,23,22,29,29,29,24,24
2,1,2,7,15,27,29,25,28,27,23
3,0,0,0,21,27,27,27,26,24,23
4,0,4,0,14,28,28,24,29,27,19
5,0,2,4,29,28,19,23,24,14,0
6,0,1,0,26,29,29,29,28,29,29
7,0,0,0,6,5,27,29,29,29,29
8,0,1,0,15,27,26,13,16,27,25
9,0,0,0,10,17,29,29,8,28,16
10,0,0,2,19,22,26,29,19,29,29
11,0,0,0,1,14,10,18,20,13,25
