Subject ID,Group,Time,Freezing
EE2A7,SHAM,4,96.66666666666667
EE2A7,SHAM,5,96.66666666666667
EE2A7,SHAM,6,96.66666666666667
EE2A7,SHAM,7,93.33333333333333
EE2A7,SHAM,8,96.66666666666667
EE2A8,VNS,-1,
EE2A8,VNS,0,
EE2A8,VNS,1,
EE2A8,VNS,2,
EE2A8,VNS,3,
EE2A8,VNS,4,
EE2A8,VNS,5,
EE2A8,VNS,6,
EE2A8,VNS,7,
EE2A8,VNS,8,
EE2A9,VNS,-1,0.0
EE2A9,VNS,0,0.0
EE2A9,VNS,1,0.0
EE2A9,VNS,2,53.333333333333336
EE2A9,VNS,3,93.33333333333333
EE2A9,VNS,4,86.66666666666667
EE2A9,VNS,5,60.0
EE2A9,VNS,6,96.66666666666667
EE2A9,VNS,7,96.66666666666667
EE2A9,VNS,8,86.66666666666667
EE2A10,SHAM,-1,6.666666666666667
EE2A10,SHAM,0,0.0
EE2A10,SHAM,1,0.0
EE2A10,SHAM,2,0.0
EE2A10,SHAM,3,53.333333333333336
EE2A10,SHAM,4,73.33333333333333
EE2A10,SHAM,5,90.0
EE2A10,SHAM,6,53.333333333333336
EE2A10,SHAM,7,73.33333333333333
EE2A10,SHAM,8,76.66666666666667
EE2A11,VNS,-1,0.0
EE2A11,VNS,0,0.0
EE2A11,VNS,1,3.3333333333333335
EE2A11,VNS,2,43.333333333333336
EE2A11,VNS,3,90.0
EE2A11,VNS,4,93.33333333333333
EE2A11,VNS,5,43.333333333333336
EE2A11,VNS,6,93.33333333333333
EE2A11,VNS,7,93.33333333333333
EE2A11,VNS,8,66.66666666666666
EE2A12,VNS,-1,0.0
EE2A12,VNS,0,0.0
EE2A12,VNS,1,0.0
EE2A12,VNS,2,10.0
EE2A12,VNS,3,96.66666666666667
EE2A12,VNS,4,96.66666666666667
EE2A12,VNS,5,93.33333333333333
EE2A12,VNS,6,96.66666666666667
EE2A12,VNS,7,96.66666666666667
EE2A12,VNS,8,93.33333333333333
EE1A1,SHAM,-1,3.3333333333333335
EE1A1,SHAM,0,0.0
EE1A1,SHAM,1,6.666666666666667
EE1A1,SHAM,2,76.66666666666667
EE1A1,SHAM,3,73.33333333333333
EE1A1,SHAM,4,96.66666666666667
EE1A1,SHAM,5,96.66666666666667
EE1A1,SHAM,6,96.66666666666667
EE1A1,SHAM,7,80.0
EE1A1,SHAM,8,80.0
EE1A2,VNS,-1,3.3333333333333335
EE1A2,VNS,0,6.666666666666667
EE1A2,VNS,1,23.333333333333332
EE1A2,VNS,2,50.0
EE1A2,VNS,3,90.0
EE1A2,VNS,4,96.66666666666667
EE1A2,VNS,5,83.33333333333334
EE1A2,VNS,6,93.33333333333333
EE1A2,VNS,7,90.0
EE1A2,VNS,8,76.66666666666667
EE1A3,VNS,-1,0.0
EE1A3,VNS,0,0.0
EE1A3,VNS,1,0.0
EE1A3,VNS,2,70.0
EE1A3,VNS,3,90.0
EE1A3,VNS,4,90.0
EE1A3,VNS,5,90.0
EE1A3,VNS,6,86.66666666666667
EE1A3,VNS,7,80.0
EE1A3,VNS,8,76.66666666666667
EE1A4,SHAM,-1,0.0
EE1A4,SHAM,0,13.333333333333334
EE1A4,SHAM,1,0.0
EE1A4,SHAM,2,46.666666666666664
EE1A4,SHAM,3,93.33333333333333
EE1A4,SHAM,4,93.33333333333333
EE1A4,SHAM,5,80.0
EE1A4,SHAM,6,96.66666666666667
EE1A4,SHAM,7,90.0
EE1A4,SHAM,8,63.33333333333333
EE1A5,SHAM,-1,0.0
EE1A5,SHAM,0,6.666666666666667
EE1A5,SHAM,1,13.333333333333334
EE1A5,SHAM,2,96.66666666666667
EE1A5,SHAM,3,93.33333333333333
EE1A5,SHAM,4,63.33333333333333
EE1A5,SHAM,5,76.66666666666667
EE1A5,SHAM,6,80.0
EE1A5,SHAM,7,46.666666666666664
EE1A5,SHAM,8,0.0
EE1A6,VNS,-1,0.0
EE1A6,VNS,0,3.3333333333333335
EE1A6,VNS,1,0.0
EE1A6,VNS,2,86.66666666666667
EE1A6,VNS,3,96.66666666666667
EE1A6,VNS,4,96.66666666666667
EE1A6,VNS,5,96.66666666666667
EE1A6,VNS,6,93.33333333333333
EE1A6,VNS,7,96.66666666666667
EE1A6,VNS,8,96.66666666666667
EE1A7,VNS,-1,0.0
EE1A7,VNS,0,0.0
EE1A7,VNS,1,0.0
EE1A7,VNS,2,20.0
EE1A7,VNS,3,16.666666666666664
EE1A7,VNS,4,90.0
EE1A7,VNS,5,96.66666666666667
EE1A7,VNS,6,96.66666666666667
EE1A7,VNS,7,96.66666666666667
EE1A7,VNS,8,96.66666666666667
EE1A8,SHAM,-1,0.0
EE1A8,SHAM,0,3.3333333333333335
EE1A8,SHAM,1,0.0
EE1A8,SHAM,2,50.0
EE1A8,SHAM,3,90.0
EE1A8,SHAM,4,86.66666666666667
EE1A8,SHAM,5,43.333333333333336
EE1A8,SHAM,6,53.333333333333336
EE1A8,SHAM,7,90.0
EE1A8,SHAM,8,83.33333333333334
EE1A9,VNS,-1,0.0
EE1A9,VNS,0,0.0
EE1A9,VNS,1,0.0
EE1A9,VNS,2,33.33333333333333
EE1A9,VNS,3,56.666666666666664
EE1A9,VNS,4,96.66666666666667
EE1A9,VNS,5,96.66666666666667
EE1A9,VNS,6,26.666666666666668
EE1A9,VNS,7,93.33333333333333
EE1A9,VNS,8,53.333333333333336
EE1A10,SHAM,-1,0.0
EE1A10,SHAM,0,0.0
EE1A10,SHAM,1,6.666666666666667
EE1A10,SHAM,2,63.33333333333333
EE1A10,SHAM,3,73.33333333333333
EE1A10,SHAM,4,86.66666666666667
EE1A10,SHAM,5,96.66666666666667
EE1A10,SHAM,6,63.33333333333333
EE1A10,SHAM,7,96.66666666666667
EE1A10,SHAM,8,96.66666666666667
EE1A11,VNS,-1,0.0
EE1A11,VNS,0,0.0
EE1A11,VNS,1,0.0
EE1A11,VNS,2,3.3333333333333335
EE1A11,VNS,3,46.666666666666664
EE1A11,VNS,4,33.33333333333333
EE1A11,VNS,5,60.0
EE1A11,VNS,6,66.66666666666666
EE1A11,VNS,7,43.333333333333336
EE1A11,VNS,8,83.33333333333334
