Subject ID,Group,Time,Freezing
EE2A1,VNS,-1,0.0
EE2A1,VNS,0,0.0
EE2A1,VNS,1,0.0
EE2A1,VNS,2,90.0
EE2A1,VNS,3,96.66666666666667
EE2A1,VNS,4,83.33333333333334
EE2A1,VNS,5,53.333333333333336
EE2A1,VNS,6,66.66666666666666
EE2A1,VNS,7,80.0
EE2A1,VNS,8,96.66666666666667
EE2A2,SHAM,-1,0.0
EE2A2,SHAM,0,3.3333333333333335
EE2A2,SHAM,1,10.0
EE2A2,SHAM,2,10.0
EE2A2,SHAM,3,93.33333333333333
EE2A2,SHAM,4,96.66666666666667
EE2A2,SHAM,5,93.33333333333333
EE2A2,SHAM,6,66.66666666666666
EE2A2,SHAM,7,50.0
EE2A2,SHAM,8,96.66666666666667
EE2A3,VNS,-1,0.0
EE2A3,VNS,0,0.0
EE2A3,VNS,1,0.0
EE2A3,VNS,2,3.3333333333333335
EE2A3,VNS,3,96.66666666666667
EE2A3,VNS,4,96.66666666666667
EE2A3,VNS,5,96.66666666666667
EE2A3,VNS,6,96.66666666666667
EE2A3,VNS,7,96.66666666666667
EE2A3,VNS,8,96.66666666666667
EE2A4,SHAM,-1,0.0
EE2A4,SHAM,0,0.0
EE2A4,SHAM,1,0.0
EE2A4,SHAM,2,3.3333333333333335
EE2A4,SHAM,3,63.33333333333333
EE2A4,SHAM,4,80.0
EE2A4,SHAM,5,96.66666666666667
EE2A4,SHAM,6,96.66666666666667
EE2A4,SHAM,7,96.66666666666667
EE2A4,SHAM,8,96.66666666666667
EE2A5,SHAM,-1,0.0
EE2A5,SHAM,0,0.0
EE2A5,SHAM,1,0.0
EE2A5,SHAM,2,30.0
EE2A5,SHAM,3,83.33333333333334
EE2A5,SHAM,4,96.66666666666667
EE2A5,SHAM,5,93.33333333333333
EE2A5,SHAM,6,90.0
EE2A5,SHAM,7,96.66666666666667
EE2A5,SHAM,8,93.33333333333333
EE2A6,VNS,-1,3.3333333333333335
EE2A6,VNS,0,0.0
EE2A6,VNS,1,0.0
EE2A6,VNS,2,93.33333333333333
EE2A6,VNS,3,96.66666666666667
EE2A6,VNS,4,96.66666666666667
EE2A6,VNS,5,96.66666666666667
EE2A6,VNS,6,96.66666666666667
EE2A6,VNS,7,90.0
EE2A6,VNS,8,86.66666666666667
EE2A7,SHAM,-1,0.0
EE2A7,SHAM,0,0.0
EE2A7,SHAM,1,40.0
EE2A7,SHAM,2,73.33333333333333
EE2A7,SHAM,3,90.0
