RAT,1,2,3,4
1,1,1,1,15
2,0,7,3,24
3,2,0,0,3
4,0,1,3,4
5,3,2,3,12
6,13,6,0,5
7,0,0,0,1
8,0,5,6,17
9,12,6,15,22
10,9,9,5,10
11,0,2,6,0
