RAT,1,2,3,4
1,25,29,29,25
2,28,30,30,30
3,18,30,29,22
4,16,27,21,28
5,19,26,26,25
6,28,27,28,22
7,23,29,27,22
8,25,27,27,12
9,27,27,27,27
10,6,8,20,2
11,28,27,27,23
12,27,28,27,28
