RAT,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,9,24,25,8,12,5,2,1,27,0,14,24,0,2,26,6,30,28,27,28
2,5,8,5,22,16,0,9,16,21,5,26,24,18,16,12,1,0,27,6,3
3,20,5,1,0,1,3,0,0,2,6,0,24,27,30,26,30,27,28,11,5
4,4,16,5,2,19,19,21,21,10,9,3,9,27,17,13,25,19,9,7,9
5,0,5,12,3,12,8,0,0,11,17,18,27,6,15,21,30,10,8,13,6
6,4,14,0,0,1,5,2,6,10,10,8,0,0,1,4,9,5,2,23,10
7,9,5,13,18,24,2,2,22,12,8,11,17,11,1,0,25,5,22,25,0
8,1,0,7,0,22,19,2,20,18,19,21,21,0,2,11,23,26,23,26,0
9,13,10,3,11,5,12,0,1,4,2,9,8,14,2,25,1,5,14,14,26
10,1,2,0,0,2,5,24,20,9,1,13,0,0,0,23,30,6,3,5,0
11,8,1,3,10,12,7,8,2,14,8,8,1,8,3,6,25,4,17,26,27
,22,12,4,13,20,1,6,22,11,11,22,28,11,0,2,24,2,24,21,0
