RAT,1,2,3,4
1,1,2,4,21
2,0,2,3,6
3,0,0,0,2
4,1,0,0,0
5,1,11,0,21
6,2,23,1,4
7,3,0,30,8
8,6,0,1,0
9,1,1,2,4
10,1,0,1,0
11,1,1,1,11
12,13,7,8,0
