RAT,1,2,3,4
1,24,19,6,2
2,10,14,4,4
3,5,0,0,3
4,13,5,1,2
5,0,0,8,1
6,16,1,7,7
7,23,26,23,18
8,21,12,11,2
9,0,5,14,1
10,12,8,1,0
11,0,0,4,16
12,12,8,23,20
